c_t_code,city_name,year,total_house,total_vacant,vacant_rate,second_use_rate,old_house_rate,other_vacant_rate,very_old_house_rate,area_type
19201,甲府市,2023,106290,19280,18.14,1.35,20.01,39.68,7.64,築年数問題
19202,富士吉田市,2023,21280,2940,13.82,3.4,25.6,51.36,11.8,両方の問題あり
19204,都留市,2023,16680,2430,14.57,1.23,17.61,41.98,7.08,比較的良好
19205,山梨市,2023,16190,3190,19.7,6.58,29.14,66.14,13.72,両方の問題あり
19206,大月市,2023,11520,2540,22.05,6.3,35.79,67.72,20.14,両方の問題あり
19207,韮崎市,2023,13930,2180,15.65,3.21,19.12,42.2,8.75,両方の問題あり
19208,南アルプス市,2023,30840,4310,13.98,2.78,18.6,56.61,8.35,比較的良好
19209,北杜市,2023,35890,16530,46.06,68.48,23.3,25.59,12.43,別荘地（特別対策必要）
19210,甲斐市,2023,35560,4340,12.2,2.07,14.82,30.65,4.46,比較的良好
19211,笛吹市,2023,33630,6120,18.2,5.23,17.64,51.47,7.17,別荘問題
19212,上野原市,2023,12080,2560,21.19,4.69,27.84,49.61,15.81,両方の問題あり
19213,甲州市,2023,13190,2300,17.44,2.17,28.75,60.87,15.02,築年数問題
19214,中央市,2023,15780,2180,13.81,0.92,16.99,34.4,5.69,比較的良好
19384,昭和町,2023,12070,2350,19.47,1.28,10.25,13.19,3.63,比較的良好
19430,富士河口湖町,2023,13050,2100,16.09,9.52,16.65,52.38,6.19,別荘問題
